error_type,sentence_id,token_id,token,gold,pred,sentence,error_pattern
FP,197,7,cream-laid,_,x,`` The note is written upon ordinary cream-laid paper without watermark .,OTHER
FP,1376,1,Nothing,_,x,"`` Nothing wonderful in that , surely ? ''",PUNCTUATION_BOUNDARY
FP,1502,9,he,_,x,"The mysterious one could understand English , even if he could not print it .",LONG_DISTANCE_DEPENDENCY
FP,1148,31,done,_,x,"This quarrel had put a stop to all communications for some months , so that if Browner had occasion to address a packet to Miss Sarah , he would undoubtedly have done so to her old address .",SBAR_CLAUSE_BOUNDARY
FP,981,14,background,_,x,This brutal preliminary seemed to shadow forth some strange and inexplicable horror in the background .,PREPOSITIONAL_PHRASE_BOUNDARY
FP,298,12,congenial,_,x,He is not particularly intelligent -- not a man likely to be congenial to a quick-witted Latin .,MULTIPLE_NEGATION
FP,1048,11,you,_,x,`` Ah ! you do n't know Sarah 's temper or you would wonder no more .,COORDINATION_SCOPE
FP,1200,1,tell,_,x,"I tell you I 've not shut an eye in sleep since I did it , and I do n't believe I ever will again until I get past all waking .",COORDINATION_SCOPE
FP,1531,5,more,_,x,`` I 'll have no more of it !,OTHER
FP,1232,10,for,_,x,"There was no need for her to speak , nor for me either .",SBAR_CLAUSE_BOUNDARY
FP,1432,8,him,_,x,`` He had one big brown bag with him -- nothing else . '',PREPOSITIONAL_PHRASE_BOUNDARY
FP,390,29,of,_,x,"It was n't black , sir , nor was it white , nor any colour that I know but a kind of queer shade like clay with a splash of milk in it .",MULTIPLE_NEGATION
FP,443,6,say,_,x,"Your powers , if I may say so without offence , seem superior to your opportunities . ''",SBAR_CLAUSE_BOUNDARY
FP,1483,3,alone,_,x,This person is alone and can not be approached by letter without a breach of that absolute secrecy which is desired .,COORDINATION_SCOPE
FP,474,10,humble,_,x,Sufficient for me to share the sport and lend my humble help to the capture without distracting that intent brain with needless interruption .,SBAR_CLAUSE_BOUNDARY
FP,691,0,We,_,x,"We ca n't arrest without her evidence , that is clear , so the sooner we get a statement the better . ''",COORDINATION_SCOPE
FP,989,13,pierced,_,x,"The other is a man 's , sun-burned , discoloured , and also pierced for an earring .",COORDINATION_SCOPE
FP,1849,4,nor,_,x,He had neither money nor position -- nothing but his beauty and strength and energy -- so my father forbade the match .,SBAR_CLAUSE_BOUNDARY
FP,1453,13,Warren,_,x,"I suppose there could not be two people in your rooms , Mrs. Warren ? ''",SBAR_CLAUSE_BOUNDARY
